"TELEPHONIC_ADDRESS_ID","SITE_NAME","3"
"100100626",NAIROBI_NJIRU_2G,600
"100101705",NAIROBI_NJIRU_2G,344
"100102647",NAIROBI_RUAI_4G,30
"100102866",RUAKA_MURUGU_GROOVE_3G,1348
"100103633",NAIROBI_KAYOLE_PHASE_1_NEW_3G,282
"100104841",KINOO_SOUTH_2G,
"100104990",NAIROBI_EASTLEIGH_4G,3960
"100106119",KIAMBU_NORTH_4G,6826
"100106166",NAIROBI_RUAI_AREA_4G,270
"100106187",NAIROBI_JOMO_KENYATTA_AIRPORT_2G,680
"100106272",NAIROBI_EXPRESS_NEW_4G,1914
"100106731",NAIROBI_KANGEMI_3G,546
"100106781",NAIROBI_REGEN_2G,682
"100107119",NAIROBI_EASTLEIGH_4G,904
"100107504",GIKUNI_3G,42
"100107526",NAIROBI_KIHARA_RED_HILL_2G,240
"100107769",GACHIE_NEW_4G,130
"100107812",BNG_APARTMENT_KIHARA_2G,340
"100107952",NAIROBI_KIHARA_RED_HILL_4G,596
"100108118",NAIROBI_FRIENDS_CHURCH_MARINGO_2G,580
"100108166",NAIROBI_UTHIRU_AREA_2G,362
"100108228",NAIROBI_KANGEMI_ROAD_2G,1172
"100109611",NAIROBI_JERUSALEM_2G,668
"100109820",KINOO_SOUTH_2G,604
"100110457",NAIROBI_CABANAS_NEW_4G,1798
"100110563",NAIROBI_TASSIA_KWARE_II_4G,
"100110802",NAIROBI_RUAI_4G,1060
"100112837",WANGIGE_MARKET_4G,540
"100115598",NAIROBI_KAYOLE_SOWETO_CATHOLIC_2G,110
"100115679",NAIROBI_LUMUMBA_4G,5238
"100116396",NAIROBI_KITISURU_2G,600
"100116969",NAIROBI_LUMUMBA_4G,1498
"100117052",NAIROBI_SARIT_CENTRE_BLOCK_2_IBS_4G,14000
"100117099",NAIROBI_MOI_AIR_BASE_3G,3974
"100117250",JOSKA_CENTRE_4G,
"100117324",NAIROBI_BURUBURU_PHASE_II_4G,510
"100117504",NAIROBI_EASTLEIGH_BIAFRA_3G,12
"100118854",JOSKA_CENTRE_3G,920
"100120584",NAIROBI_RUAI_POLICE_STATION_4G,98
"100123389",NAIROBI_KAYOLE_BAHATI_3G,446
"100123558",WANGIGE_MARKET_2G,1278
"100123749",NAIROBI_REGEN_2G,36
"100123756",NDENDERU_2G,242
"100123785",KARURA_KANYUNGU_3G,1848
"100123808",NAIROBI_KAYOLE_4G,1524
"100123844",NAIROBI_KIHARA_3G,
"100124303",NAIROBI_FACTORY_2G,444
"100124314",NAIROBI_REGEN_3G,2882
"100124935",NAIROBI_AVENUE_PARK_4G,1000
"100125381",NAIROBI_MUKURU_TKL_3G,408
"100126175",GATHIGA_4G,4198
"100126517",NAIROBI_MATHARE_2G,
"100126814",NAIROBI_REGEN_4G,2666
"100127103",NAIROBI_EMBASSY_HOUSE_3G,2140
"100127161",NAIROBI_FRIENDS_CHURCH_MARINGO_2G,4084
"100127202",NAIROBI_KIHARA_RED_HILL_2G,16
"100131062",NAIROBI_KOMAROCK_IMPROVEMENT_2G,12
"100131664",NAIROBI_KITUSURU_ROAD_3G,178
"100133020",NAIROBI_NYAYO_STADIUM_3G,
"100134394",NAIROBI_KIHARA_RED_HILL_4G,2628
"100134661",KIAMBAA_ATC_3G,3250
"100135612",NAIROBI_TASSIA_PINES_MAKUTI_4G,576
"100135835",NAIROBI_MBOTELA_2G,
"100136318",GACHIE_2G,16
"100137266",NAIROBI_UTHIRU_GICHAGI_2G,360
"100138006",NAIROBI_DEVANI_MUKURU_2G,620
"100138096",NAIROBI_UTAWALA_FAGILIA_4G,2568
"100138911",NAIROBI_KR_MAKONGENI_3G,440
"100139391",NAIROBI_UTAWALA_GITHUNGURI_ATC_3G,3244
"100142051",NAIROBI_HURUMA_NGEI_2G,352
"100143702",NAIROBI_REGEN_4G,6652
"100144188",NAIROBI_NGALA_3G,11528
"100146260",NAIROBI_MATHARE_RIVER_2G,8
"100147724",NAIROBI_EXPRESS_NEW_3G,0
"100147908",NAIROBI_RACECOURSE_CBD_4G,198
"100147922",NAIROBI_LORESHO_NEW_2G,152
"100148217",KIAMBAA_ATC_4G,1204
"100148228",NAIROBI_MATER_HOSPITAL_NEW_4G,4000
"100148282",NAIROBI_JERUSALEM_3G,3154
"100148415",NAIROBI_TASSIA_PINES_MAKUTI_4G,502
"100148932",NAIROBI_NYAYO_EMBAKASI_4G,180
"100149581",NAIROBI_NEW_FEDHA_4G,7210
"100149622",NAIROBI_UTHIRU_AREA_4G,2386
"100149875",NAIROBI_EMBAKASI_KIWANJA_4G,244
"100150059",NAIROBI_RUNDA_POLICE_2G,
"100150554",NAIROBI_MAB_EASTLEIGH_2G,
"100150557",NAIROBI_PIPELINE_LENANA_3G,
"100151202",NAIROBI_UTAWALA_SHOPPING_CENTER_4G,2166
"100151213",NAIROBI_BURUBURU_FARM_NJIRU_4G,3142
"100151239",NAIROBI_BOROLLE_2G,1012
"100151687",NAIROBI_UHURU_ESTATE_4G,2748
"100152540",NAIROBI_JUJA_ROAD_2G,312
"100154155",NAIROBI_PIPELINE_LENANA_2G,880
"100155376",NAIROBI_AVENUE_PARK_3G,0
"100157167",NAIROBI_MUTHURWA_4G,896
"100157322",NAIROBI_DONHOLM_SAVANNA_4G,470
"100157406",NAIROBI_FAITH_HOMES_ACADEMY_3G,376
"100157460",NAIROBI_KENYA_POLYTECHNIC_4G,3508
"100158283",NAIROBI_INNERCORE_2G,1124
"100158566",NAIROBI_KIHARA_RED_HILL_2G,2
"100160199",NAIROBI_SOUTH_B_3G,
"100161669",NAIROBI_MUKURU_KWA_RUBEN_2G,318
"100162871",WANGIGE_KIBICHIKO_2G,64
"100163472",NAIROBI_FACTORY_4G,708
"100163517",NAIROBI_TASSIA_2_ESTATE_3G,1788
"100164974",NAIROBI_LUNGA_LUNGA_4G,
"100165745",NYATHUNA_4G,20
"100165994",NAIROBI_MUKURU_TKL_3G,874
"100166082",NAIROBI_KMA_GARISSA_LODGE_2G,324
"100168083",NAIROBI_NEW_CROSS_ROAD_4G,416
